maxdepth,AUC,seed,level
1,0.5634381049167635,1,family
2,0.5992414182475159,1,family
4,0.5946087707916976,1,family
8,0.5891001820635967,1,family
16,0.5955475015520747,1,family
30,0.5958359829777513,1,family
1,0.5755930359802311,10,family
2,0.6077184702123727,10,family
4,0.6046373331083698,10,family
8,0.5944031540251052,10,family
16,0.5961749194752244,10,family
30,0.5962957620076522,10,family
1,0.5584578175736712,100,family
2,0.6007961009790278,100,family
4,0.6037183023615951,100,family
8,0.6042452646461793,100,family
16,0.6088037623860795,100,family
30,0.6088914772786724,100,family
1,0.5670518650183284,11,family
2,0.6150176674932772,11,family
4,0.6081909344013002,11,family
8,0.611527236295529,11,family
16,0.6118814949531413,11,family
30,0.6119510248488907,11,family
1,0.5724423691984668,12,family
2,0.6156313643783156,12,family
4,0.6208598092866385,12,family
8,0.6282775331952162,12,family
16,0.6313736922898509,12,family
30,0.6312028441769295,12,family
1,0.5744423386801436,13,family
2,0.5958533202191739,13,family
4,0.6015123695123695,13,family
8,0.6034913223327858,13,family
16,0.6013713168743656,13,family
30,0.6012504896010994,13,family
1,0.5609194285749164,14,family
2,0.5840354845263381,14,family
4,0.5810010903760904,14,family
8,0.5828264943950919,14,family
16,0.5854856502844308,14,family
30,0.5851838484826289,14,family
1,0.5664941151953347,15,family
2,0.6143248418278906,15,family
4,0.6229798988884355,15,family
8,0.6194100529100529,15,family
16,0.6139275549504208,15,family
30,0.6138554584636902,15,family
1,0.561456090236578,16,family
2,0.5641833680370266,16,family
4,0.5759465968581823,16,family
8,0.5825835580789849,16,family
16,0.5818184831172636,16,family
30,0.5818010353559134,16,family
1,0.5652253686613443,17,family
2,0.6122962396194104,17,family
4,0.5969174928412734,17,family
8,0.5988592335802702,17,family
16,0.6014895394087467,17,family
30,0.6014159749906701,17,family
1,0.5731307954295759,18,family
2,0.5716776366959294,18,family
4,0.568633180218546,18,family
8,0.5692838099423465,18,family
16,0.5679519469382275,18,family
30,0.568003070361302,18,family
1,0.546263080153324,19,family
2,0.5414176018352848,19,family
4,0.5452947520691424,19,family
8,0.5556400100012905,19,family
16,0.5572270388855755,19,family
30,0.5571093528197186,19,family
1,0.5710869833247882,2,family
2,0.6125340423175789,2,family
4,0.6069189328701524,2,family
8,0.6103442303366083,2,family
16,0.6050859485356437,2,family
30,0.6053237813161594,2,family
1,0.555411846515505,20,family
2,0.5732059406967943,20,family
4,0.5826226313421435,20,family
8,0.5796770180459205,20,family
16,0.580770715401813,20,family
30,0.5808141229208302,20,family
1,0.564784186189674,21,family
2,0.582098802199412,21,family
4,0.5924896429530576,21,family
8,0.5868912366198952,21,family
16,0.58455262339866,21,family
30,0.5842458222595418,21,family
1,0.5648526470721592,22,family
2,0.5681460929570685,22,family
4,0.5726811375835766,22,family
8,0.578581118575021,22,family
16,0.5739734710756053,22,family
30,0.5740030398429788,22,family
1,0.5602639446938228,23,family
2,0.5714064800863582,23,family
4,0.5651490144325511,23,family
8,0.5590096049882636,23,family
16,0.5586437107839547,23,family
30,0.5589437233400648,23,family
1,0.5567606038093843,24,family
2,0.5914156717693303,24,family
4,0.5869853490249832,24,family
8,0.5873558063725747,24,family
16,0.5855190024519293,24,family
30,0.585696194452292,24,family
1,0.5740168295473174,25,family
2,0.5666034701949336,25,family
4,0.5787734001423026,25,family
8,0.5898872533247533,25,family
16,0.5922036784170931,25,family
30,0.5919579640616226,25,family
1,0.5702045420856396,26,family
2,0.5863225237432554,26,family
4,0.5762372568561593,26,family
8,0.5740111313403996,26,family
16,0.5784417644996913,26,family
30,0.5783755327627279,26,family
1,0.5557576400442255,27,family
2,0.594724250382787,27,family
4,0.573350775426995,27,family
8,0.5709263169964389,27,family
16,0.5755961431815091,27,family
30,0.5757427213799166,27,family
1,0.5617131892345307,28,family
2,0.592771631387485,28,family
4,0.6015098578543701,28,family
8,0.6061867204748302,28,family
16,0.6053048460045412,28,family
30,0.6051937719513939,28,family
1,0.556816960688912,29,family
2,0.5715327173863759,29,family
4,0.5801594739338641,29,family
8,0.58374248181107935,29,family
16,0.5854881292442268,29,family
30,0.5851926497490522,29,family
1,0.5574364778541607,3,family
2,0.5692957896921311,3,family
4,0.5808309917059917,3,family
8,0.5809624633344146,3,family
16,0.5776772724379432,3,family
30,0.5775591900698608,3,family
1,0.5511272130144081,30,family
2,0.5759475649429918,30,family
4,0.5649567932479518,30,family
8,0.569436642435118,30,family
16,0.5725516112802699,30,family
30,0.5725717634010317,30,family
1,0.5819822487993219,31,family
2,0.5878985178558349,31,family
4,0.6045401250553689,31,family
8,0.6080026714432202,31,family
16,0.6088515139704164,31,family
30,0.6092454305350646,31,family
1,0.5591714445281518,32,family
2,0.5817485782821149,32,family
4,0.588714792754427,32,family
8,0.580416899259887,32,family
16,0.5811144960291302,32,family
30,0.5812626389455657,32,family
1,0.5615906145692731,33,family
2,0.6053946786507762,33,family
4,0.5983641734068563,33,family
8,0.5968242523882767,33,family
16,0.6005110053433225,33,family
30,0.6004790539668589,33,family
1,0.5541320078789591,34,family
2,0.5762119702455069,34,family
4,0.5715381149878102,34,family
8,0.5712913061144769,34,family
16,0.568971266780718,34,family
30,0.5691260439446415,34,family
1,0.5555522778876437,35,family
2,0.5770788545514155,35,family
4,0.5816066990335284,35,family
8,0.5780541386334069,35,family
16,0.5787269743611207,35,family
30,0.5785538992825578,35,family
1,0.5573707509774583,36,family
2,0.5751522380394332,36,family
4,0.5754283510426803,36,family
8,0.5803478910094764,36,family
16,0.5804992143711656,36,family
30,0.5808959743715841,36,family
1,0.5640348453854551,37,family
2,0.5826286216530119,37,family
4,0.5978735643308815,37,family
8,0.6008491056387398,37,family
16,0.6009043154652911,37,family
30,0.6007227602166627,37,family
1,0.5742047796925845,38,family
2,0.6222802066003286,38,family
4,0.6223075198456296,38,family
8,0.6220454117008996,38,family
16,0.6250865065849822,38,family
30,0.6250448970311775,38,family
1,0.5541222838692351,39,family
2,0.5760612720734672,39,family
4,0.5718949227973619,39,family
8,0.5734293544415495,39,family
16,0.573713878948635,39,family
30,0.5741320671717013,39,family
1,0.5420778740412887,4,family
2,0.5554719100633735,4,family
4,0.5536591504396382,4,family
8,0.5610316243944293,4,family
16,0.5626014832341052,4,family
30,0.5628366535089097,4,family
1,0.5501069815460059,40,family
2,0.5661326470198421,40,family
4,0.5742558810988689,40,family
8,0.57251979069662,40,family
16,0.5715035263922459,40,family
30,0.5711804129913887,40,family
1,0.581544691468472,41,family
2,0.6231073665128544,41,family
4,0.5983628574131623,41,family
8,0.5963288946612118,41,family
16,0.5936159358400213,41,family
30,0.5937276411864827,41,family
1,0.5555175013864038,42,family
2,0.5676545661515173,42,family
4,0.5705215838660961,42,family
8,0.5728317426747305,42,family
16,0.5727146373289667,42,family
30,0.5726422875401534,42,family
1,0.5742183267762536,43,family
2,0.6116086116604409,43,family
4,0.5989718934962838,43,family
8,0.6005888279394377,43,family
16,0.6012627797658285,43,family
30,0.6012934478468015,43,family
1,0.5912867676038408,44,family
2,0.6115284796992114,44,family
4,0.6038908595006156,44,family
8,0.6029479263671337,44,family
16,0.6042123231681159,44,family
30,0.6040173581682728,44,family
1,0.5480727242922365,45,family
2,0.5662027707149658,45,family
4,0.5605341227551593,45,family
8,0.5613390592247299,45,family
16,0.5656239878816098,45,family
30,0.5654916368895028,45,family
1,0.5637300937697279,46,family
2,0.6066321029217371,46,family
4,0.5990442214862947,46,family
8,0.6017840497291717,46,family
16,0.6014349512840367,46,family
30,0.6013682059672913,46,family
1,0.5555891976471244,47,family
2,0.5817963669244157,47,family
4,0.5945731236462943,47,family
8,0.5940170617045617,47,family
16,0.5962787009570546,47,family
30,0.5962310300282861,47,family
1,0.5477251611367465,48,family
2,0.5538724778785754,48,family
4,0.5550977078995372,48,family
8,0.553841042915738,48,family
16,0.5560515567832641,48,family
30,0.556071384973824,48,family
1,0.5590506516969932,49,family
2,0.5885579386006216,49,family
4,0.5846843463672732,49,family
8,0.5877316861722349,49,family
16,0.5887506897141044,49,family
30,0.5887546148064441,49,family
1,0.5805403652781702,5,family
2,0.6338468451029426,5,family
4,0.6041086506802971,5,family
8,0.5979053528702919,5,family
16,0.5921468450157474,5,family
30,0.592011659307391,5,family
1,0.5588559369474003,50,family
2,0.5580762539543027,50,family
4,0.5658249922396263,50,family
8,0.5634255150185028,50,family
16,0.5628028668912816,50,family
30,0.562500439027878,50,family
1,0.5724321560236194,51,family
2,0.6013248470596032,51,family
4,0.584187966712357,51,family
8,0.5816547697523308,51,family
16,0.5853455498181108,51,family
30,0.585293547903304,51,family
1,0.5651749022541706,52,family
2,0.5989496861844423,52,family
4,0.5973317790787303,52,family
8,0.5995015145807829,52,family
16,0.5942416767813109,52,family
30,0.5943437339778803,52,family
1,0.571814606854241,53,family
2,0.5924405193521047,53,family
4,0.5945685336904849,53,family
8,0.6048069408694409,53,family
16,0.6007407483703215,53,family
30,0.6007503960842375,53,family
1,0.5449686672735453,54,family
2,0.5383452156424717,54,family
4,0.546058257953075,54,family
8,0.5564625651348213,54,family
16,0.5573037157366426,54,family
30,0.5569831259831259,54,family
1,0.55631058017948265,55,family
2,0.5941867289763632,55,family
4,0.6232292109182354,55,family
8,0.6209032505937994,55,family
16,0.620714412801303,55,family
30,0.6206036613704297,55,family
1,0.5645467723821382,56,family
2,0.5887497746003844,56,family
4,0.5940859300066618,56,family
8,0.591675496707509,56,family
16,0.5884620511190634,56,family
30,0.5885423814493936,56,family
1,0.5695186161771527,57,family
2,0.6006234514130856,57,family
4,0.6004462729279803,57,family
8,0.5967349217684583,57,family
16,0.5996265738735251,57,family
30,0.5997945733189636,57,family
1,0.5656569906143076,58,family
2,0.5799881680460949,58,family
4,0.5893721742212595,58,family
8,0.59878900634083565,58,family
16,0.5998932782957174,58,family
30,0.5999682315154876,58,family
1,0.5586907068218043,59,family
2,0.585215842584745,59,family
4,0.5803673117804216,59,family
8,0.5866786115383676,59,family
16,0.5831544865858891,59,family
30,0.5832360280576744,59,family
1,0.5612498561279049,6,family
2,0.569642512285805,6,family
4,0.5740868259374357,6,family
8,0.5750335174024198,6,family
16,0.5748750810915445,6,family
30,0.5746202609403829,6,family
1,0.5802051929978759,60,family
2,0.6048619882949151,60,family
4,0.60109996560149,60,family
8,0.6030200130444033,60,family
16,0.6071349254306572,60,family
30,0.6071214232525208,60,family
1,0.554644047793438,61,family
2,0.5620361921154604,61,family
4,0.5714559437486266,61,family
8,0.5839879849361557,61,family
16,0.5829906252070887,61,family
30,0.5831070922839215,61,family
1,0.5552070031704178,62,family
2,0.5707517766023864,62,family
4,0.5760268286579262,62,family
8,0.5771727930020613,62,family
16,0.579033661710491,62,family
30,0.5789011725139774,62,family
1,0.5469953660106099,63,family
2,0.5627005550847014,63,family
4,0.5644437416510587,63,family
8,0.5626604173860271,63,family
16,0.5589256455933286,63,family
30,0.5590202140293604,63,family
1,0.5688674781052829,64,family
2,0.5705925415833952,64,family
4,0.5833856735655516,64,family
8,0.5885834732816441,64,family
16,0.5843179139505359,64,family
30,0.5843427497619571,64,family
1,0.5580911307649112,65,family
2,0.5847988541677566,65,family
4,0.5693702849190654,65,family
8,0.5633633073404415,65,family
16,0.5669402518808007,65,family
30,0.5672606532926655,65,family
1,0.5480420001883416,66,family
2,0.5561540695748013,66,family
4,0.5655048668005985,66,family
8,0.5698054744640111,66,family
16,0.5722143482768483,66,family
30,0.5722154142382802,66,family
1,0.5454807477337965,67,family
2,0.5952925508260875,67,family
4,0.5839563555280018,67,family
8,0.5746710096420462,67,family
