nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,AUC,seed,level
100,1,0.001,0,0.8,1,0.4,0.6061503807814783,1,order
100,1,0.001,0,0.8,1,0.5,0.6042530173902125,1,order
100,1,0.001,0,0.8,1,0.6,0.5982490766027352,1,order
100,1,0.001,0,0.8,1,0.7,0.5937956078901201,1,order
100,1,0.01,0,0.8,1,0.4,0.6137172041379358,1,order
100,1,0.01,0,0.8,1,0.5,0.6107327427601817,1,order
100,1,0.01,0,0.8,1,0.6,0.6082362650106553,1,order
100,1,0.01,0,0.8,1,0.7,0.6023833846913116,1,order
100,1,0.1,0,0.8,1,0.4,0.6211893888662181,1,order
100,1,0.1,0,0.8,1,0.5,0.625514652282945,1,order
100,1,0.1,0,0.8,1,0.6,0.6271644056948935,1,order
100,1,0.1,0,0.8,1,0.7,0.6273673460045411,1,order
100,1,1,0,0.8,1,0.4,0.5550071626504554,1,order
100,1,1,0,0.8,1,0.5,0.5648206281194086,1,order
100,1,1,0,0.8,1,0.6,0.5677909085043231,1,order
100,1,1,0,0.8,1,0.7,0.5690493803908439,1,order
100,2,0.001,0,0.8,1,0.4,0.6299197542490226,1,order
100,2,0.001,0,0.8,1,0.5,0.6258489962087523,1,order
100,2,0.001,0,0.8,1,0.6,0.6217522718711743,1,order
100,2,0.001,0,0.8,1,0.7,0.6159329220335318,1,order
100,2,0.01,0,0.8,1,0.4,0.6322718563511247,1,order
100,2,0.01,0,0.8,1,0.5,0.6306227473117717,1,order
100,2,0.01,0,0.8,1,0.6,0.6264417318014879,1,order
100,2,0.01,0,0.8,1,0.7,0.6212669734194125,1,order
100,2,0.1,0,0.8,1,0.4,0.6168498193315266,1,order
100,2,0.1,0,0.8,1,0.5,0.6198884040835261,1,order
100,2,0.1,0,0.8,1,0.6,0.617709645185255,1,order
100,2,0.1,0,0.8,1,0.7,0.6185604567982617,1,order
100,2,1,0,0.8,1,0.4,0.5541614986066206,1,order
100,2,1,0,0.8,1,0.5,0.5603990296917126,1,order
100,2,1,0,0.8,1,0.6,0.5662202481226871,1,order
100,2,1,0,0.8,1,0.7,0.5717660892599917,1,order
100,4,0.001,0,0.8,1,0.4,0.6332769847373506,1,order
100,4,0.001,0,0.8,1,0.5,0.6340045263033068,1,order
100,4,0.001,0,0.8,1,0.6,0.6335445611116343,1,order
100,4,0.001,0,0.8,1,0.7,0.6300849447007983,1,order
100,4,0.01,0,0.8,1,0.4,0.6328856905686174,1,order
100,4,0.01,0,0.8,1,0.5,0.6329783197831979,1,order
100,4,0.01,0,0.8,1,0.6,0.6329417065148772,1,order
100,4,0.01,0,0.8,1,0.7,0.6318967713357957,1,order
100,4,0.1,0,0.8,1,0.4,0.6064092585616976,1,order
100,4,0.1,0,0.8,1,0.5,0.6098460926082877,1,order
100,4,0.1,0,0.8,1,0.6,0.6111156156156157,1,order
100,4,0.1,0,0.8,1,0.7,0.6109840825145704,1,order
